maladies,symptomes,diagnostics,symptomes_clean,overlap_score
Psoriasis,"The skin around my mouth, nose, and eyes is red and inflamed. It is often itchy and uncomfortable. There is a noticeable inflammation in my nails.","Based on your description, it seems like you may be experiencing symptoms of a condition called facial dermatitis or eczema. Facial dermatitis is a common skin condition characterized by redness, inflammation, itching, and discomfort in the areas around the mouth, nose, and eyes. Inflammation in the nails can also be associated with this condition.  To help alleviate your symptoms, I recommend the following:  1. Keep the affected areas clean and moisturized: Use a gentle cleanser and apply a hypoallergenic moisturizer to keep your skin hydrated.  2. Avoid triggers: Identify and avoid any potential triggers that may be causing or worsening your symptoms. These can include certain skincare products, cosmetics, fragrances, or exposure to extreme temperatures.  3. Use a topical corticosteroid cream: If your symptoms are severe, a short-term use of a mild corticosteroid cream may be prescribed by a doctor to reduce inflammation and itching. However, it's important to use it as directed and not for prolonged periods.  4. Take antihistamines: Over-the-counter antihistamines can help relieve itching and discomfort. Consult with a pharmacist to find the most suitable option for you.  5. Protect your skin from the sun: Apply a broad-spectrum sunscreen with at least SPF 30 to protect your skin from further irritation caused by sun exposure.  If your symptoms persist or worsen despite these measures, I recommend consulting a dermatologist for a proper evaluation and personalized treatment plan.",skin mouth nose eye red inflame itchy uncomfortable noticeable inflammation irritation swelling nail,0
Psoriasis,The rash on my skin is worse in the winter months when the air is dry. I find that I have to moisturize more frequently and use humidifiers to keep my skin hydrated.,"It sounds like you are experiencing a worsening of your skin rash during the winter months when the air is dry. Dry air can lead to increased moisture loss from the skin, causing it to become dry and irritated. Moisturizing frequently and using humidifiers are good strategies to help keep your skin hydrated.   In addition to these measures, there are other steps you can take to manage your skin rash during the winter months. Here are some recommendations:  1. Use a gentle, fragrance-free moisturizer: Look for moisturizers that are specifically formulated for dry and sensitive skin. Apply the moisturizer immediately after bathing or showering to lock in moisture.  2. Avoid hot showers and baths: Hot water can strip the skin of its natural oils, leading to further dryness and irritation. Opt for lukewarm water instead and limit your bathing time.  3. Choose mild, non-irritating soaps: Harsh soaps and cleansers can aggravate dry skin. Use mild, fragrance-free soaps or cleansers that are gentle on the skin.  4. Wear appropriate clothing: Protect your skin from cold temperatures and harsh winds by wearing layers of clothing. Choose soft, breathable fabrics such as cotton and avoid rough materials that can further irritate your skin.  5. Use a humidifier: As you mentioned, using a humidifier can help add moisture to the air and prevent your skin from drying out. Place the humidifier in the rooms where you spend the most time, such as your bedroom or living room.  If your symptoms persist or worsen despite these measures, it would be advisable to consult a dermatologist for a proper evaluation and personalized treatment plan.",rash skin eruption dermal rash skin irritation skin bad winter month air dry find moisturize frequently use humidifier skin hydrated,0
Psoriasis,The skin on my palms and soles is thickened and has deep cracks. These cracks are painful and bleed easily.,"Based on your description, it seems like you may be experiencing a condition called ""hand-foot syndrome"" or ""palmar-plantar erythrodysesthesia."" This condition is characterized by thickening of the skin on the palms of the hands and soles of the feet, along with deep cracks that can be painful and prone to bleeding.  Hand-foot syndrome can be caused by various factors, including certain medications, such as chemotherapy drugs, targeted therapy drugs, and some antibiotics. It can also be associated with medical conditions like liver disease, kidney disease, and certain types of cancer.  To manage the symptoms of hand-foot syndrome, there are a few things you can try:  1. Keep your hands and feet clean and moisturized: Use mild soaps and lukewarm water to wash your hands and feet. Pat them dry gently and apply a thick moisturizer, preferably one that contains urea or lactic acid, to help soften the skin.  2. Protect your hands and feet: Wear gloves when doing household chores or any activities that may cause friction or trauma to your hands. Similarly, wear comfortable shoes with cushioned soles to minimize pressure on your feet.  3. Avoid hot water and extreme temperatures: Hot water can further dry out your skin and worsen the symptoms. Try to use lukewarm water for bathing and avoid exposing your hands and feet to extreme temperatures.  4. Use over-the-counter creams: There are several over-the-counter creams available that can help soothe and heal cracked skin. Look for creams containing ingredients like lanolin, petrolatum, or dimethicone.  5. Stay hydrated: Drink plenty of water to keep your body hydrated, as this can help improve the condition of your skin.  If your symptoms persist or worsen despite these measures, it is important to consult with a dermatologist or a healthcare professional for further evaluation and appropriate management. They may recommend specific prescription creams or other treatments tailored to your individual needs.  Please note that the information provided is for educational purposes only and does not replace a proper medical evaluation. If you have any concerns or questions, it is always best to consult with a healthcare professional.",skin palm sol thicken deep crack crack painful blee easily,0
Psoriasis,"I have noticed a sudden peeling of skin at different parts of my body, mainly arms, legs and back. Also, I face severe joint pain and skin rashes.","I'm not a dermatologist, but based on your description, it's possible that you may be experiencing a condition called psoriasis. Psoriasis is a chronic autoimmune disease that affects the skin, causing red, scaly patches to appear. It can also lead to joint pain and inflammation, known as psoriatic arthritis. However, there could be other causes for your symptoms as well. It's important to consult with a dermatologist or a healthcare professional for a proper diagnosis and treatment plan. They may recommend topical treatments such as corticosteroids or vitamin D analogues, oral medications like methotrexate or biologic agents, and lifestyle modifications to manage your symptoms.",notice sudden peel skin different part body mainly arm leg face severe joint pain ache discomfort soreness skin rash skin eruption dermal rash skin irritation,4
Psoriasis,"I am starting to have rashes on my skin. The rash often bleeds when I scratch or rub it. Moreover, I have noticed small dents in my nails.","Based on your description, it is difficult to provide a specific diagnosis without a physical examination. However, there are a few possibilities that could explain your symptoms. One possibility is that you may be experiencing a skin condition called psoriasis. Psoriasis can cause red, scaly patches on the skin that may bleed when scratched. It can also affect the nails, causing small dents or pitting.  Another possibility is that you may have a condition called dermatitis, which is inflammation of the skin. Dermatitis can be caused by various factors such as allergies, irritants, or underlying medical conditions. Scratching or rubbing the affected area can lead to bleeding and worsen the rash.  To manage your symptoms, I recommend keeping your skin well-moisturized with a gentle, fragrance-free moisturizer. Avoid scratching or rubbing the rash, as this can further irritate the skin and cause bleeding. You may also consider using over-the-counter hydrocortisone cream to help reduce inflammation and itching.  However, it is important to note that these recommendations are general and may not be suitable for everyone. I would strongly advise you to consult with a dermatologist for a proper diagnosis and personalized treatment plan. They will be able to examine your skin, evaluate your symptoms, and recommend appropriate medications or treatments.",start rash skin eruption dermal rash skin irritation skin rash skin eruption dermal rash skin irritation bleed scratch rub notice small dent nail,0
Psoriasis,"I have experienced fatigue and a general feeling of malaise. I often feel tired and have a lack of energy, even after a good night's sleep.","Based on your description, it seems like you are experiencing fatigue and a general feeling of malaise. Fatigue can be caused by various factors, including physical, mental, and emotional stress, as well as medical conditions. It is important to identify the underlying cause in order to determine the appropriate treatment.   Some common causes of fatigue include: 1. Lack of sleep or poor sleep quality: Make sure you are getting enough sleep and practicing good sleep hygiene. 2. Anemia: A deficiency in red blood cells or hemoglobin can lead to fatigue. It would be helpful to get a blood test to check your hemoglobin levels. 3. Thyroid disorders: An underactive thyroid (hypothyroidism) can cause fatigue. A thyroid function test can help diagnose this condition. 4. Depression or anxiety: Mental health conditions can contribute to fatigue. If you are experiencing symptoms of depression or anxiety, it would be beneficial to seek support from a mental health professional. 5. Chronic fatigue syndrome: This is a complex disorder characterized by extreme fatigue that is not improved by rest. It is important to consult with a healthcare professional for proper evaluation and management.  In the meantime, you can try some lifestyle modifications to improve your energy levels: 1. Maintain a balanced diet with plenty of fruits, vegetables, whole grains, and lean proteins. 2. Stay hydrated by drinking an adequate amount of water throughout the day. 3. Engage in regular physical activity, such as walking or jogging, to boost your energy levels. 4. Manage stress through relaxation techniques, such as deep breathing exercises or meditation. 5. Ensure you have a consistent sleep schedule and create a relaxing bedtime routine.  If your symptoms persist or worsen, I recommend consulting with a healthcare professional for a thorough evaluation and personalized treatment plan.",experience fatigue tiredness exhaustion weariness general feeling malaise feel tired lack energy good night sleep,1
Psoriasis,"My skin is prone to infections due to dry, flaky patches. I am experiencing a strong pain in my joints. The skin on my knees and elbows is starting to peel off.","Based on your description, it seems like you may be experiencing a condition called psoriasis. Psoriasis is a chronic autoimmune disease that affects the skin, causing dry, flaky patches and inflammation. It can also affect the joints, leading to pain and stiffness.  While I cannot provide a definitive diagnosis without a physical examination, there are some treatments that may help alleviate your symptoms. It is important to note that these suggestions are not a substitute for professional medical advice, so I recommend consulting with a dermatologist or rheumatologist for a proper evaluation and treatment plan.  For the skin symptoms, moisturizing the affected areas regularly can help relieve dryness and reduce the risk of infection. You can use over-the-counter moisturizers containing ingredients like ceramides or urea. Additionally, topical corticosteroids or calcipotriene may be prescribed by a doctor to reduce inflammation and promote healing.  In terms of joint pain, nonsteroidal anti-inflammatory drugs (NSAIDs) such as ibuprofen or naproxen can help alleviate pain and reduce inflammation. However, it is important to follow the recommended dosage and consult with a healthcare professional before starting any medication.  Again, I strongly advise you to seek medical attention to receive a proper diagnosis and personalized treatment plan.",skin prone infection bacterial infection viral infection dry flaky patch experience strong pain ache discomfort soreness joint skin knee elbow start peel,4
Psoriasis,"My skin has been peeling, especially on my knees, elbows, and scalp. This peeling is often accompanied by a burning or stinging sensation.","Based on your description, it seems like you may be experiencing a condition called psoriasis. Psoriasis is a chronic autoimmune disease that affects the skin, causing it to become red, inflamed, and flaky. The most common areas affected are the knees, elbows, and scalp, which aligns with your symptoms.  The peeling of the skin, along with the burning or stinging sensation, are typical characteristics of psoriasis. While the exact cause of psoriasis is unknown, it is believed to involve a combination of genetic and environmental factors.  To manage the symptoms of psoriasis, there are several treatment options available. Topical corticosteroids, such as Betnovate or Dermovate cream, can help reduce inflammation and relieve the itching and burning sensations. Additionally, moisturizers like Cetaphil or Eucerin can help soothe the dryness and prevent further peeling.  In some cases, if the symptoms are severe or widespread, oral medications or light therapy may be recommended. However, it is important to consult with a dermatologist to determine the most appropriate treatment plan for your specific condition.  Remember, this is just an educated guess based on the information you provided. It is always best to consult with a healthcare professional for a proper diagnosis and personalized treatment plan.",skin peel especially knee elbow scalp peeling accompany burning sting sensation,0
Psoriasis,"There is a silver like dusting on my skin, especially on my lower back and scalp. This dusting is made up of small scales that flake off easily when I scratch them.","Based on your description, it is possible that you are experiencing a condition called seborrheic dermatitis. Seborrheic dermatitis is a common skin condition that causes redness, itching, and flaking of the skin. It commonly affects areas such as the scalp, face, and upper body.  To manage seborrheic dermatitis, you can try the following:  1. Keep your skin clean: Gently wash the affected areas with a mild cleanser and warm water. Avoid using harsh soaps or scrubbing vigorously, as this can worsen the condition.  2. Moisturize: Apply a gentle moisturizer to the affected areas to help soothe dryness and reduce flaking. Look for moisturizers that are specifically formulated for sensitive or dry skin.  3. Avoid triggers: Certain factors can trigger or worsen seborrheic dermatitis, such as stress, cold weather, and certain skincare products. Try to identify and avoid these triggers to help manage your symptoms.  4. Over-the-counter treatments: You may consider using over-the-counter antifungal creams or shampoos that contain ingredients like ketoconazole, selenium sulfide, or zinc pyrithione. These can help reduce inflammation and control the growth of yeast on the skin, which is often associated with seborrheic dermatitis.  5. Consult a dermatologist: If your symptoms persist or worsen despite self-care measures, it would be advisable to consult a dermatologist. They can provide a proper diagnosis and recommend prescription-strength treatments if necessary.  Remember, this is just a general recommendation based on the information provided. It's always best to consult with a healthcare professional for a proper diagnosis and treatment plan tailored to your specific needs.",silver like dust skin especially low scalp dusting small scale flake easily scratch,0
Psoriasis,"I have been experiencing joint pain in my fingers, wrists, and knees. The pain is often achy and throbbing, and it gets worse when I move my joints.","Based on your description, it is possible that you may be experiencing symptoms of arthritis. Arthritis is a condition that causes inflammation and pain in the joints. There are different types of arthritis, such as osteoarthritis and rheumatoid arthritis, which can affect different joints in the body.  To alleviate the pain and discomfort, you can try over-the-counter nonsteroidal anti-inflammatory drugs (NSAIDs) such as ibuprofen or naproxen. These medications can help reduce inflammation and relieve pain. However, it is important to follow the recommended dosage and consult with a pharmacist or healthcare professional if you have any underlying medical conditions or are taking other medications.  In addition to medication, you may also find relief by applying heat or cold packs to the affected joints, practicing gentle exercises to improve joint flexibility and strength, and maintaining a healthy weight to reduce stress on the joints.  It is important to note that this is just a general recommendation and it would be best to consult with a healthcare professional for a proper diagnosis and treatment plan tailored to your specific condition.",experience joint pain ache discomfort soreness finger wrist knee pain ache discomfort soreness achy throbbing get bad joint,4
